Ag,B,Ba,Co,Cr,Mo,Ni,Pb,Sn,Zn,Binary,Quaternary
0.02,21,336,36,45,1,48,9,11,106,0,0
0.02,35,538,34,75,1,49,13,5,142,0,0
0.02,36,630,38,133,4,61,14,5,173,0,0
0.02,93,846,30,176,2,129,19,5,243,0,0
0.02,75,888,56,250,2,180,14,5,358,0,0
0.02,27,978,34,124,2,83,14,5,132,0,0
0.02,40,732,45,170,2,116,14,5,183,0,0
0.02,23,1000,33,90,2,86,14,5,122,0,0
0.02,2,140,12,48,4,2,16,5,30,0,0
0.02,2,157,14,90,4,9,7,5,78,0,0
0.02,9,599,25,58,4,30,16,5,91,0,0
0.02,33,703,20,125,1,38,19,5,15,0,0
0.02,46,631,23,117,2,47,17,5,152,0,0
0.02,38,627,21,88,2,35,18,5,180,0,0
0.02,16,673,19,121,2,30,14,5,107,0,0
0.02,37,707,25,148,1,65,26,5,180,0,0
0.02,71,677,24,89,2,48,14,5,194,0,0
0.02,19,727,27,68,1,33,18,5,102,0,0
0.02,29,861,19,86,2,32,8,5,31,0,0
0.02,16,700,26,35,1,32,8,5,47,0,0
0.02,21,371,28,67,2,35,18,5,159,0,0
0.02,2,48,2,16,2,2,2,5,2,0,0
0.02,2,150,11,91,2,7,2,5,2,0,0
0.02,5,481,20,86,2,18,16,5,204,0,0
0.02,2,245,23,113,4,10,12,5,138,0,0
0.02,2,291,11,45,2,6,14,5,86,0,0
0.02,5,305,21,65,2,21,10,5,91,0,0
0.02,2,284,25,84,2,23,6,5,168,0,0
0.02,2,81,8,21,2,2,2,5,44,0,0
0.02,2,408,26,56,2,23,2,5,118,0,0
0.02,23,521,54,116,2,50,15,5,83,0,0
0.02,21,489,48,63,2,58,9,5,73,0,0
0.02,20,563,57,76,4,51,6,5,77,0,0
0.02,20,579,55,73,2,49,12,5,63,0,0
0.02,12,480,11,44,2,12,19,5,70,0,0
0.02,28,540,15,70,2,29,27,5,70,0,0
0.02,25,540,11,60,2,17,37,5,100,0,0
0.02,13,540,12,75,2,36,27,5,150,0,0
0.02,16,480,23,52,2,36,32,5,120,0,0
0.02,30,850,23,130,2,58,16,5,95,0,0
0.02,8,500,12,44,1,45,19,5,100,0,0
0.02,24,473,10,23,1,34,15,5,58,0,0
0.02,86,448,29,115,2,75,15,5,36,0,0
0.02,31,470,18,99,2,51,32,5,69,0,0
0.02,28,471,23,102,2,59,20,5,52,0,0
0.02,26,540,16,29,2,40,40,5,62,0,0
0.02,21,315,16,18,2,38,18,5,54,0,0
0.02,25,514,14,40,2,32,11,5,20,0,0
0.02,25,423,17,32,2,45,28,5,66,0,0
0.02,35,568,19,58,2,50,16,5,39,0,0
0.02,51,556,18,62,2,51,19,5,33,0,0
0.02,25,416,11,35,2,27,14,5,29,0,0
0.02,28,518,9,23,2,27,14,5,29,0,0
0.02,29,505,13,34,2,38,16,5,30,0,0
0.02,28,445,14,38,1,34,23,5,25,0,0
0.02,32,365,17,61,2,56,29,5,47,0,0
0.02,15,458,10,34,1,24,13,5,29,0,0
0.02,27,542,14,105,1,38,18,5,74,0,0
0.02,32,415,18,143,2,52,17,5,105,0,0
0.02,63,442,16,158,4,46,35,5,82,0,0
0.02,46,440,15,107,2,48,17,5,82,0,0
0.02,32,595,12,110,2,44,25,5,70,0,0
0.02,34,531,12,177,2,42,24,5,108,0,0
0.02,39,428,14,112,2,50,23,5,84,0,0
0.02,46,462,16,135,2,51,12,5,72,0,0
0.02,31,460,10,108,2,34,12,5,72,0,0
0.02,32,495,18,105,2,45,23,5,112,0,0
0.02,23,338,18,98,2,40,18,5,173,0,0
0.02,15,440,19,49,1,74,20,5,92,0,0
0.02,27,442,31,84,2,110,25,26,120,0,0
0.02,22,480,29,68,2,100,20,16,103,0,0
0.02,16,380,22,59,2,84,18,12,98,0,0
0.02,25,450,18,82,2,85,18,5,70,0,0
0.02,22,390,26,44,2,108,16,5,82,0,0
0.02,22,360,30,150,2,110,18,14,95,0,0
0.02,22,560,11,60,1,108,26,5,73,0,0
0.02,25,438,20,95,2,53,20,5,76,0,0
0.02,22,450,20,90,2,86,25,5,83,0,0
0.02,54,840,31,150,2,78,49,5,280,0,0
0.02,76,700,36,270,2,147,53,34,300,0,0
0.02,47,735,35,122,1,66,76,24,225,0,0
0.02,52,598,39,147,2,72,36,17,270,0,0
0.02,44,400,46,48,2,64,22,5,47,0,0
0.02,46,367,36,36,2,61,18,20,54,0,0
0.02,49,497,30,112,2,44,21,5,44,0,0
0.02,52,381,37,132,2,99,16,5,47,0,0
0.02,56,407,42,184,2,137,20,10,55,0,0
0.02,66,541,37,144,2,119,25,5,48,0,0
0.02,54,519,26,79,1,89,39,11,67,0,0
